driver version:	441.20
NVML version:	10.441.20


devices_count:	1
devices:
- index:	0
  name:		GeForce GTX 950
  fan_speed:	0%
  temperature:	46C
  power_usage:	12404mW
  gpu_utilization:	0%
  memory_utilization:	19%


Monitoring GPUs with polling period of 250ms:


timestamp_ms,device_index,fan_speed,temperature,power_usage,gpu_utilization,memory_utilization
40136441,0,0,54,41878,44,19
40136694,0,0,54,41117,44,19
40136946,0,0,54,40450,44,19
40137198,0,0,54,39798,44,19
40137450,0,0,54,39968,43,19
40137702,0,0,54,40923,43,19
40137954,0,0,54,41310,43,19
40138206,0,0,54,42335,44,19
40138458,0,0,54,41600,43,19
40138711,0,0,54,40827,44,18
40138963,0,0,54,40268,43,19
40139216,0,0,54,39701,44,19
40139468,0,0,54,40633,43,18
40139720,0,0,54,41213,44,19
40139972,0,0,54,42091,43,19
40140224,0,0,54,41628,43,19
40140476,0,0,54,41407,43,19
40140728,0,0,54,40827,44,19
40140981,0,0,54,40075,44,19
40141233,0,0,54,39688,44,19
40141485,0,0,54,40730,44,19
40141737,0,0,55,41407,43,19
40141990,0,0,54,42239,44,19
40142242,0,0,54,41628,43,19
40142494,0,0,55,40923,43,19
40142747,0,0,55,39995,43,19
40142999,0,0,54,39701,43,20
40143251,0,0,54,40536,43,19
40143504,0,0,55,41310,43,19
40143756,0,0,55,42239,43,19
40144008,0,0,54,40273,43,19
40144260,0,0,55,38856,34,17
40144512,0,0,54,38262,35,18
40144765,0,0,55,37791,34,17
40145017,0,0,54,37606,33,16
40145269,0,0,54,38203,31,16
40145522,0,0,55,40730,31,16
40145774,0,0,55,40730,39,16
40146026,0,0,55,40078,39,16
40146279,0,0,55,39605,40,17
40146531,0,0,55,39024,40,17
40146783,0,0,55,38856,40,17
40147036,0,0,55,40923,42,17
40147288,0,0,55,42933,48,20
40147540,0,0,55,46741,44,19
40147793,0,0,55,41869,46,19
40148045,0,0,55,40633,43,19
40148297,0,0,55,39978,42,19
40148550,0,0,55,39508,42,19
40148802,0,0,55,40355,42,19
40149054,0,0,55,41310,42,19
40149307,0,0,55,39701,35,18
40149559,0,0,55,38927,34,17
40149812,0,0,55,38456,34,17
40150064,0,0,55,37803,34,17
40150316,0,0,55,37525,34,17
40150569,0,0,55,38637,34,17
40150821,0,0,55,39414,34,17
40151074,0,0,55,39121,32,16
40151326,0,0,55,40260,35,16
40151578,0,0,55,39608,40,17
40151831,0,0,55,38931,39,16
40152083,0,0,55,38552,39,17
40152335,0,0,55,39314,40,17
40152587,0,0,55,40150,40,18
40152840,0,0,55,41978,40,17
40153092,0,0,55,43015,44,18
40153344,0,0,55,42339,45,20
40153597,0,0,55,40854,45,19
40153848,0,0,56,40370,44,19
40154101,0,0,55,40062,43,19
